Time,Extension,Load,Strain 2,Tensile strain,Tensile stress
(sec),(mm),(N),(mm/mm),(mm/mm),(MPa)
0.00000,0.00006,0.06002,0.00000,0.00000,0.00074
0.10000,0.00173,5.06172,0.00000,0.00000,0.06215
0.20000,0.00759,26.48668,0.00000,0.00001,0.32524
0.30000,0.01369,33.21255,0.00000,0.00001,0.40783
0.40000,0.01949,39.05451,0.00000,0.00001,0.47956
0.50000,0.02475,43.07318,0.00000,0.00001,0.52891
0.60000,0.03001,48.77461,0.00000,0.00001,0.59892
0.70000,0.03498,53.75727,0.00000,0.00001,0.66010
0.80000,0.04006,60.82923,0.00000,0.00001,0.74694
0.90000,0.04490,68.24761,0.00000,0.00002,0.83803
1.00000,0.05004,74.85417,0.00000,0.00002,0.91916
1.10000,0.05495,81.62233,0.00000,0.00002,1.00227
1.20000,0.06009,89.13641,0.00000,0.00002,1.09453
1.30000,0.06493,95.98902,0.00000,0.00002,1.17868
1.40000,0.07001,103.36183,0.00000,0.00002,1.26921
1.50000,0.07498,110.63584,0.00000,0.00002,1.35853
1.60000,0.08012,120.07040,0.00000,0.00002,1.47438
1.70000,0.08496,129.20398,0.00000,0.00002,1.58654
1.80000,0.09004,138.77650,0.00000,0.00002,1.70408
1.90000,0.09495,149.83491,0.00000,0.00002,1.83987
2.00000,0.10009,162.50358,0.00000,0.00002,1.99543
2.10000,0.10505,174.04206,0.00000,0.00002,2.13712
2.20000,0.11001,187.32448,0.00000,0.00002,2.30022
2.30000,0.11498,200.75054,0.00000,0.00003,2.46508
2.40000,0.11994,214.72326,0.00000,0.00003,2.63666
2.50000,0.12502,228.59431,0.00000,0.00003,2.80698
2.60000,0.12998,243.33471,0.00000,0.00003,2.98799
2.70000,0.13506,262.30735,0.00000,0.00003,3.22096
2.80000,0.13991,279.88462,0.00000,0.00003,3.43679
2.90000,0.14505,299.95979,0.00000,0.00004,3.68330
3.00000,0.14995,320.61287,0.00000,0.00004,3.93691
3.10000,0.15515,344.85650,0.00000,0.00004,4.23461
3.20000,0.15988,368.42709,0.00000,0.00004,4.52404
3.30000,0.16508,394.11099,0.00000,0.00005,4.83942
3.40000,0.16992,418.82345,0.00000,0.00005,5.14287
3.50000,0.17506,444.97419,0.00000,0.00005,5.46398
3.60000,0.17991,472.09845,0.00000,0.00006,5.79705
3.70000,0.18505,501.15576,0.00000,0.00006,6.15385
3.80000,0.18995,531.58836,0.00000,0.00006,6.52755
3.90000,0.19503,567.18034,0.00000,0.00007,6.96459
4.00000,0.20000,604.10132,0.00000,0.00007,7.41796
4.10000,0.20502,645.20217,0.00000,0.00008,7.92265
4.20000,0.20998,689.80786,0.00000,0.00008,8.47038
4.30000,0.21500,737.02913,0.00000,0.00009,9.05022
4.40000,0.22003,790.24956,0.00000,0.00009,9.70373
4.50000,0.22505,840.17394,0.00000,0.00010,10.31677
